company_id,fiscal_year,overall_risk,coverage,pillar_energy,pillar_efficiency,pillar_carbon,pillar_offsets,pillar_transparency,confidence_score,confidence_grade,weighted_coverage,imputed_weight_share,coverage_score,source_quality_score,recency_score,assurance_score
meta,2024,16.877499999999998,1.0,0.0,0.0,0.01,100.0,12.5,79.0,B,1.0,0.0,100.0,40.0,100.0,70.0
google,2024,27.77,1.0,36.0,0.0,0.08,100.0,25.0,76.0,B,1.0,0.0,100.0,40.0,100.0,40.0
ibm,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
salesforce,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
openai,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
anthropic,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
xai,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
mistral,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
cohere,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
stabilityai,2024,70.25,0.0,65.0,65.0,65.0,65.0,100.0,23.5,D,0.0,1.0,0.0,40.0,50.0,40.0
microsoft,2024,54.072,1.0,65.0,2.86,65.0,65.0,75.0,40.9,D,0.39999999999999997,0.6,22.0,40.0,100.0,40.0
amazon,2024,49.875,1.0,0.0,65.0,65.0,100.0,37.5,52.675,C,0.5499999999999999,0.45,41.49999999999999,40.0,100.0,70.0
oracle,2024,45.25,1.0,30.0,65.0,37.5,65.0,37.5,61.449999999999996,C,0.7000000000000002,0.30000000000000004,61.000000000000014,40.0,99.99999999999997,70.0
nvidia,2024,36.66,1.0,24.0,65.0,9.14,65.0,37.5,61.449999999999996,C,0.7000000000000002,0.30000000000000004,61.000000000000014,40.0,99.99999999999997,70.0
amd,2024,57.125,1.0,50.0,65.0,65.0,65.0,37.5,46.824999999999996,C,0.44999999999999996,0.55,28.499999999999993,40.0,100.0,70.0
apple,2024,17.08,1.0,0.0,65.0,0.12,2.0,25.0,69.3,B,0.8000000000000002,0.2,74.00000000000001,40.0,99.99999999999999,90.0
tencent,2024,49.873,1.0,78.0,24.14,55.68,65.0,12.5,73.15,B,0.9000000000000001,0.1,87.00000000000001,40.0,99.99999999999999,70.0
alibaba,2024,55.358000000000004,1.0,61.0,14.29,65.0,65.0,75.0,46.75,C,0.5,0.49999999999999994,35.0,40.0,100.0,40.0
equinix,2024,30.5685,1.0,4.0,41.43,38.63,65.0,12.5,73.15,B,0.9000000000000001,0.1,87.00000000000001,40.0,99.99999999999999,70.0
intel,2024,45.125,1.0,2.0,65.0,65.0,65.0,37.5,46.824999999999996,C,0.44999999999999996,0.55,28.499999999999993,40.0,100.0,70.0
tsmc,2024,66.1,1.0,85.9,65.0,65.0,65.0,37.5,46.824999999999996,C,0.44999999999999996,0.55,28.499999999999993,40.0,100.0,70.0
